datetime,open,high,low,close,volume,hold,MA_10,MA_20,MA_30,MA_60,MA20_Slope
2025-01-03 10:15:00,5162.0,5167.0,5152.0,5159.0,15447,1082905,5159.0,5159.0,5159.0,5159.0,
2025-01-03 10:45:00,5163.0,5168.0,5155.0,5157.0,9599,1086705,5158.0,5158.0,5158.0,5158.0,-1.0
2025-01-03 11:00:00,5157.0,5157.0,5134.0,5136.0,64492,1090459,5150.67,5150.67,5150.67,5150.67,-7.33
2025-01-03 11:15:00,5136.0,5149.0,5136.0,5147.0,27332,1087362,5149.75,5149.75,5149.75,5149.75,-0.92
2025-01-03 11:30:00,5147.0,5153.0,5141.0,5144.0,17336,1087438,5148.6,5148.6,5148.6,5148.6,-1.15
2025-01-03 13:45:00,5145.0,5151.0,5142.0,5145.0,20489,1087521,5148.0,5148.0,5148.0,5148.0,-0.6
2025-01-03 14:00:00,5145.0,5163.0,5144.0,5158.0,27013,1082193,5149.43,5149.43,5149.43,5149.43,1.43
2025-01-03 14:15:00,5159.0,5159.0,5142.0,5145.0,16710,1081220,5148.88,5148.88,5148.88,5148.88,-0.55
2025-01-03 14:30:00,5139.0,5156.0,5136.0,5156.0,15570,1078321,5149.67,5149.67,5149.67,5149.67,0.79
2025-01-03 14:45:00,5156.0,5157.0,5144.0,5146.0,3576,1077272,5149.3,5149.3,5149.3,5149.3,-0.37
2025-01-03 15:00:00,5150.0,5151.0,5142.0,5145.0,8942,1070839,5147.9,5148.91,5148.91,5148.91,-0.39
2025-01-03 21:15:00,5150.0,5159.0,5143.0,5146.0,73936,1074946,5146.8,5148.67,5148.67,5148.67,-0.24
2025-01-03 21:30:00,5146.0,5161.0,5145.0,5159.0,44035,1073891,5149.1,5149.46,5149.46,5149.46,0.79
2025-01-03 21:45:00,5159.0,5159.0,5150.0,5154.0,23809,1073537,5149.8,5149.79,5149.79,5149.79,0.33
2025-01-03 22:00:00,5153.0,5164.0,5152.0,5160.0,26714,1073021,5151.4,5150.47,5150.47,5150.47,0.68
2025-01-03 22:15:00,5160.0,5164.0,5154.0,5156.0,20588,1074283,5152.5,5150.81,5150.81,5150.81,0.34
2025-01-03 22:30:00,5156.0,5164.0,5155.0,5163.0,16901,1072000,5153.0,5151.53,5151.53,5151.53,0.72
2025-01-03 22:45:00,5163.0,5171.0,5158.0,5169.0,244761,1065387,5155.4,5152.5,5152.5,5152.5,0.97
2025-01-03 23:00:00,5170.0,5171.0,5158.0,5161.0,24513,1062649,5155.9,5152.95,5152.95,5152.95,0.45
2025-01-06 09:15:00,5162.0,5167.0,5143.0,5162.0,61297,1069303,5157.5,5153.4,5153.4,5153.4,0.45
2025-01-06 09:30:00,5162.0,5168.0,5157.0,5161.0,30371,1071120,5159.1,5153.5,5153.76,5153.76,0.1
2025-01-06 09:45:00,5160.0,5173.0,5159.0,5161.0,41510,1070161,5160.6,5153.7,5154.09,5154.09,0.2
2025-01-06 10:00:00,5161.0,5168.0,5153.0,5154.0,29630,1070975,5160.1,5154.6,5154.09,5154.09,0.9
2025-01-06 10:15:00,5155.0,5178.0,5149.0,5174.0,56475,1066185,5162.1,5155.95,5154.92,5154.92,1.35
2025-01-06 10:45:00,5175.0,5175.0,5160.0,5162.0,23275,1066154,5162.3,5156.85,5155.2,5155.2,0.9
2025-01-06 11:00:00,5162.0,5171.0,5159.0,5169.0,19285,1065258,5163.6,5158.05,5155.73,5155.73,1.2
2025-01-06 11:15:00,5168.0,5175.0,5164.0,5165.0,24344,1062369,5163.8,5158.4,5156.07,5156.07,0.35
2025-01-06 11:30:00,5165.0,5169.0,5155.0,5155.0,26189,1062854,5162.4,5158.9,5156.04,5156.04,0.5
2025-01-06 13:45:00,5155.0,5159.0,5147.0,5153.0,696644,1064413,5161.6,5158.75,5155.93,5155.93,-0.15
2025-01-06 14:00:00,5153.0,5165.0,5153.0,5165.0,681685,1064292,5161.9,5159.7,5156.23,5156.23,0.95
2025-01-06 14:15:00,5165.0,5168.0,5156.0,5164.0,30152,1061829,5162.2,5160.65,5156.4,5156.48,0.95
2025-01-06 14:30:00,5163.0,5166.0,5155.0,5160.0,21594,1062170,5162.1,5161.35,5156.5,5156.59,0.7
2025-01-06 14:45:00,5159.0,5161.0,5152.0,5152.0,16814,1063894,5161.9,5161.0,5157.03,5156.45,-0.35
2025-01-06 15:00:00,5152.0,5156.0,5148.0,5150.0,33065,1062195,5159.5,5160.8,5157.13,5156.26,-0.2
2025-01-06 21:15:00,5160.0,5171.0,5159.0,5169.0,80893,1070619,5160.2,5161.25,5157.97,5156.63,0.45
2025-01-06 21:30:00,5169.0,5178.0,5168.0,5169.0,50691,1076543,5160.2,5161.9,5158.77,5156.97,0.65
2025-01-06 21:45:00,5169.0,5174.0,5167.0,5172.0,20445,1075509,5160.9,5162.35,5159.23,5157.38,0.45
2025-01-06 22:00:00,5172.0,5173.0,5166.0,5169.0,12928,1074880,5162.3,5162.35,5160.03,5157.68,0.0
2025-01-06 22:15:00,5169.0,5172.0,5162.0,5164.0,21124,1073615,5163.4,5162.5,5160.3,5157.85,0.15
2025-01-06 22:30:00,5164.0,5166.0,5153.0,5156.0,33671,1076307,5162.5,5162.2,5160.63,5157.8,-0.3
2025-01-06 22:45:00,5155.0,5155.0,5145.0,5149.0,29894,1080658,5161.0,5161.6,5160.77,5157.59,-0.6
2025-01-06 23:00:00,5149.0,5155.0,5149.0,5151.0,20821,1078372,5160.1,5161.1,5160.93,5157.43,-0.5
